No.,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
71,-121.98,37.8,16,2498,330,1027,343,8.155,343700,<1H OCEAN
72,-121.93,37.76,5,2255,269,876,258,10.3345,461400,<1H OCEAN
73,-122.08,37.88,26,2947,,825,626,2.933,85000,NEAR BAY
74,-121.94,37.83,11,2836,373,959,335,10.5815,500001,INLAND
75,-121.96,37.94,26,3084,505,1557,501,5.1582,194700,INLAND
76,-122.31,37.94,38,2172,403,945,384,4.3958,194200,NEAR BAY
77,-122.32,37.95,36,1425,245,573,239,4.35,185000,NEAR BAY
78,-122.32,38,32,2275,397,1233,418,4.0437,162800,NEAR BAY
79,-122.34,37.98,33,2014,410,1354,427,3.9773,131300,NEAR BAY
80,-122.35,37.95,42,1485,290,971,303,3.6094,114600,NEAR BAY
81,-122.34,37.94,44,1917,444,936,435,2.7391,140300,NEAR BAY
82,-122.32,37.91,34,2669,647,1341,555,2.6399,119600,NEAR BAY
83,-122.28,37.91,38,2501,348,805,329,6.5576,358500,NEAR BAY
84,-120.87,38.83,12,2180,423,1070,377,2.8562,128200,INLAND
85,-120.78,38.74,28,4236,877,2008,881,2.1603,111300,INLAND
86,-120.67,38.76,35,2104,403,1060,400,2.1682,138100,INLAND
87,-120.76,38.6,14,2925,625,1226,437,2.5865,133800,INLAND
88,-119.81,36.73,47,1314,416,1155,326,1.372,49600,INLAND
89,-119.78,36.75,35,2114,506,2050,474,1.2375,50000,INLAND
90,-119.76,36.72,24,1240,265,1035,232,2.875,60600,INLAND
91,-119.69,36.74,23,2097,385,911,405,3.5128,121600,INLAND
92,-119.68,36.63,39,1237,256,638,239,3.0139,65300,INLAND
93,-119.82,36.76,41,1973,399,1107,375,1.8971,66900,INLAND
94,-119.8,36.75,46,2625,593,1368,551,1.5273,59000,INLAND
95,-119.77,36.76,43,1945,413,1492,422,1.5174,54600,INLAND
96,-119.72,36.81,15,2175,564,1194,482,2.6767,87500,INLAND
97,-119.76,36.77,38,3804,814,2142,816,2.1439,60200,INLAND
98,-119.78,36.78,37,2185,455,1143,438,1.9784,70700,INLAND
99,-119.82,36.81,25,3305,551,1149,500,5.0698,150900,INLAND
100,-119.77,36.84,15,1924,262,848,277,5.3886,125300,INLAND
101,-119.78,36.83,11,2754,663,1328,604,2.3667,69300,INLAND
102,-119.8,36.82,24,5377,1005,2010,982,3.4542,121200,INLAND
103,-119.82,36.79,18,5822,1439,3415,1224,1.6854,64700,INLAND
104,-119.8,36.79,45,1337,187,471,187,5.187,153800,INLAND
105,-119.69,36.85,20,2655,432,1081,379,4.5398,143100,INLAND
106,-119.69,36.83,8,943,189,475,155,4.9327,89500,INLAND
107,-119.69,36.81,13,1524,366,994,370,2.5446,93800,INLAND
108,-119.64,36.82,14,4872,656,2085,617,5.6739,173800,INLAND
109,-119.63,36.7,42,1338,215,617,222,3.0833,133300,INLAND
110,-119.56,36.71,37,1609,374,1173,344,2.181,59900,INLAND
111,-119.48,37,16,2904,551,1467,509,3.1736,111800,INLAND
112,-119.61,36.57,42,2242,521,1359,483,1.5833,65100,INLAND
113,-119.97,36.57,17,1497,308,1425,247,2.0313,69400,INLAND
114,-120.41,36.77,24,1335,312,1180,267,1.947,68900,INLAND
115,-120.51,36.86,21,1779,399,1446,371,2.4414,71900,INLAND
116,-122.74,39.71,16,255,73,85,38,1.6607,14999,INLAND
117,-124.14,40.67,23,580,117,320,109,4.2054,130600,NEAR OCEAN
118,-124.19,40.73,21,5694,1056,2907,972,3.5363,90100,NEAR OCEAN
119,-123.96,40.57,31,1854,365,883,310,2.3167,92600,<1H OCEAN
120,-124.08,40.06,17,1319,267,393,163,2.625,135600,NEAR OCEAN
121,-123.68,40.24,31,1852,452,917,359,1.725,54300,<1H OCEAN
122,-115.41,32.99,29,1141,220,684,194,3.4038,107800,INLAND
123,-115.56,32.96,21,2164,480,1164,421,3.8177,107200,INLAND
124,-115.57,32.8,33,1192,213,1066,211,4.5714,68600,INLAND
125,-115.57,32.78,25,2007,301,1135,332,5.128,99600,INLAND
126,-115.56,32.78,29,1568,283,848,245,3.1597,76200,INLAND
127,-115.5,32.68,18,3631,913,3565,924,1.5931,88400,INLAND
128,-115.95,33.28,12,99,25,37,17,1.8958,53800,INLAND
129,-117.02,36.4,19,619,239,490,164,2.1,14999,INLAND
130,-118.94,35.4,14,5548,941,2815,935,4.2214,104600,INLAND
131,-118.94,35.37,33,3372,741,2352,704,2.0643,57600,INLAND
132,-119.03,35.39,28,4513,764,1593,763,2.9821,118700,INLAND
133,-119.02,35.37,44,2687,620,1521,549,1.7213,61600,INLAND
134,-119,35.36,35,1021,280,1258,239,1.7375,48600,INLAND
135,-119.02,35.35,38,1472,305,670,282,2.2407,76000,INLAND
136,-119.03,35.34,36,3474,645,1679,616,2.7256,71900,INLAND
137,-119.07,35.34,16,4201,786,1667,724,4.8839,134100,INLAND
138,-119.12,35.33,4,8574,1489,4250,1444,5.1036,103400,INLAND
139,-119.09,35.35,14,2113,256,842,265,8.5325,224100,INLAND
140,-119.06,35.33,14,5264,1064,3278,1049,3.8117,82800,INLAND
141,-119.04,35.31,11,2161,371,1267,388,4.1957,92700,INLAND
142,-119.47,35.14,19,4190,690,1973,702,3.9929,88300,INLAND
143,-119.28,35.52,36,786,194,573,134,2.2321,37500,INLAND
144,-119.27,35.49,39,2649,572,1815,547,2.3533,65400,INLAND
145,-118.59,35.72,28,1491,408,98,48,1.4205,90000,INLAND
146,-118.47,35.64,17,2248,535,927,427,1.3023,68500,INLAND
147,-117.66,35.63,33,2579,564,1155,431,2.0441,42100,INLAND
148,-117.76,35.63,12,2014,372,1027,356,3.9261,101300,INLAND
149,-118.27,34.92,20,873,175,422,159,2.9583,91700,INLAND
150,-118.15,34.86,10,4597,1009,2227,821,2.6149,83500,INLAND
151,-118.48,35.14,4,8417,1657,4631,1468,3.6949,115800,INLAND
152,-118.46,35.13,19,3109,640,1457,620,2.6417,94900,INLAND
153,-118.92,35.13,29,1297,262,909,253,1.9236,106300,INLAND
154,-119.65,36.37,4,3725,783,1478,600,3.5486,148000,INLAND
155,-119.65,36.35,38,3148,568,1378,537,2.8788,85500,INLAND
156,-119.63,36.35,4,1684,343,920,324,4.2396,90600,INLAND
157,-119.63,36.33,14,2928,600,1633,559,1.8385,67500,INLAND
158,-119.65,36.34,47,1869,357,832,315,3.0846,76100,INLAND
159,-119.68,36.32,28,1325,276,873,240,2.5833,54400,INLAND
160,-119.69,36.25,35,2011,349,970,300,2.395,94100,INLAND
161,-119.57,36.1,37,1676,316,707,274,2.0595,60700,INLAND
162,-122.99,39.02,14,1582,301,851,273,3.45,164100,<1H OCEAN
163,-122.69,39.04,9,254,50,66,29,2.7639,112500,INLAND
164,-122.65,38.99,16,4279,951,1596,666,1.8571,75900,INLAND
165,-122.78,38.97,11,5175,971,2144,792,3.0466,97300,INLAND
166,-122.55,38.81,7,3639,637,1027,421,3.8831,132100,INLAND
167,-122.68,38.76,29,994,226,302,117,2.3125,67900,INLAND
168,-120.09,39.92,19,2335,518,1028,383,1.7267,60700,INLAND
169,-118.28,34.25,29,2559,,1886,769,2.6036,162100,<1H OCEAN
170,-118.35,34.21,39,1470,312,1047,284,3.275,181400,<1H OCEAN
171,-118.31,34.28,34,3258,610,1810,633,5.1145,219900,<1H OCEAN
172,-118.35,34.27,32,604,108,314,113,6.2037,205400,<1H OCEAN
173,-118.3,34.25,44,1442,285,859,292,4.5833,197300,<1H OCEAN
174,-118.42,34.26,37,1789,424,2279,411,3.9,138600,<1H OCEAN
175,-118.42,34.27,35,2700,702,3444,679,1.4867,124000,<1H OCEAN
176,-118.42,34.24,17,2049,548,2243,541,2.525,163700,<1H OCEAN
177,-118.45,34.27,35,1579,300,1012,265,5.1296,195900,<1H OCEAN
178,-118.46,34.25,33,2202,433,1135,407,4.2143,224200,<1H OCEAN
179,-118.51,34.27,34,3787,771,1966,738,4.055,222500,<1H OCEAN
180,-118.61,34.25,16,8295,1506,3903,1451,5.5111,276600,<1H OCEAN
181,-118.58,34.24,26,3239,647,1529,590,3.2426,236900,<1H OCEAN
182,-118.58,34.25,23,4883,769,2119,725,5.521,280800,<1H OCEAN
183,-118.54,34.23,35,3422,601,1690,574,4.375,232900,<1H OCEAN
184,-118.54,34.25,26,2639,378,1191,401,6.2788,322200,<1H OCEAN
185,-118.54,34.22,34,2193,513,1299,497,3.6187,211600,<1H OCEAN
186,-118.45,34.25,34,2094,380,1207,380,5.2801,212300,<1H OCEAN
187,-118.48,34.23,30,1762,263,761,292,6.5268,273100,<1H OCEAN
188,-118.43,34.25,32,2433,553,2318,532,3.6384,159300,<1H OCEAN
189,-118.46,34.22,39,1500,333,998,309,3.9625,168200,<1H OCEAN
190,-118.44,34.21,41,1440,325,1014,322,2.875,168600,<1H OCEAN
191,-118.4,34.21,30,2453,544,1753,506,2.9803,191500,<1H OCEAN
192,-118.4,34.24,35,2552,545,1850,503,4.775,179500,<1H OCEAN
193,-118.39,34.22,35,1790,334,1277,345,5.0818,186800,<1H OCEAN
194,-118.37,34.2,34,2199,609,2488,597,2.9861,171800,<1H OCEAN
195,-118.4,34.2,13,4859,1293,3351,1200,3.6875,211900,<1H OCEAN
196,-118.42,34.19,34,2622,572,1997,573,3.338,222500,<1H OCEAN
197,-118.45,34.2,19,3666,1150,2657,1090,2.9688,202100,<1H OCEAN
198,-118.43,34.16,34,2622,467,1233,476,4.0474,379700,<1H OCEAN
199,-118.44,34.16,35,3080,642,1362,623,4.1218,328500,<1H OCEAN
200,-118.51,34.22,36,2794,523,1334,472,4.3462,222100,<1H OCEAN
201,-118.52,34.19,37,1560,275,763,284,3.8516,206900,<1H OCEAN
202,-118.57,34.21,23,4891,793,2447,765,5.8798,270500,<1H OCEAN
203,-118.59,34.21,34,1943,320,895,305,5.0462,227700,<1H OCEAN
204,-118.62,34.2,23,3098,542,1486,492,5.7613,235800,<1H OCEAN
205,-118.56,34.19,36,2600,441,1246,426,4.1111,215600,<1H OCEAN
206,-118.57,34.2,33,1759,311,943,315,5.223,209200,<1H OCEAN
207,-118.6,34.16,32,3999,667,1628,631,6.0794,338500,<1H OCEAN
208,-118.53,34.18,16,7194,1976,3687,1894,3.1887,189300,<1H OCEAN
209,-118.55,34.17,36,2127,297,761,274,7.8392,500001,<1H OCEAN
210,-118.53,34.14,28,6920,906,2515,860,9.2189,500001,<1H OCEAN
211,-118.39,34.15,29,917,181,379,183,3.4612,425000,<1H OCEAN
212,-118.18,34.13,52,2228,475,1311,452,3.5341,182100,<1H OCEAN
213,-118.19,34.13,50,1309,302,883,293,3.1287,198000,<1H OCEAN
214,-118.18,34.11,44,1346,398,1204,344,2.3984,152200,<1H OCEAN
215,-118.33,34.12,23,1894,416,769,392,6.0352,500001,<1H OCEAN
216,-118.32,34.1,43,1615,734,1460,644,1.4005,193800,<1H OCEAN
217,-118.3,34.09,32,2202,674,2178,635,2.0307,226700,<1H OCEAN
218,-118.26,34.08,45,2174,627,1992,557,2.5428,167800,<1H OCEAN
219,-118.25,34.09,52,3142,765,1728,682,3.1864,189800,<1H OCEAN
220,-118.22,34.07,36,839,250,1079,245,1.7463,158300,<1H OCEAN
221,-118.18,34.08,33,1369,408,1475,377,2.3281,151900,<1H OCEAN
222,-118.17,34.08,39,787,181,731,179,3.2279,158500,<1H OCEAN
223,-118.19,34.06,47,2324,658,3020,594,1.1868,93800,<1H OCEAN
224,-118.21,34.06,30,511,153,1152,149,2.3611,156800,<1H OCEAN
225,-118.28,34.06,17,2518,1196,3051,1000,1.7199,175000,<1H OCEAN
226,-118.27,34.06,45,564,353,1172,319,1.494,187500,<1H OCEAN
227,-118.26,34.06,33,1950,1047,3707,1012,1.7238,110000,<1H OCEAN
228,-118.34,34.06,52,1311,310,707,290,3.4812,432800,<1H OCEAN
229,-118.31,34.08,49,2549,630,1539,594,2.6218,350900,<1H OCEAN
230,-118.3,34.06,21,3960,1490,3468,1335,1.8214,475000,<1H OCEAN
231,-118.29,34.05,31,2818,1252,4126,1200,2.053,229200,<1H OCEAN
232,-118.34,34.08,52,2756,542,971,510,5.5871,500001,<1H OCEAN
233,-118.37,34.07,52,2195,435,884,432,5.24,486400,<1H OCEAN
234,-118.38,34.08,25,4625,1307,1739,1191,3.3989,485000,<1H OCEAN
235,-118.35,34.06,48,1354,279,716,309,3.7167,385000,<1H OCEAN
236,-118.36,34.05,48,1825,404,728,363,3.3824,322600,<1H OCEAN
237,-118.38,34.05,49,702,,458,187,4.8958,333600,<1H OCEAN
238,-118.34,34.05,50,2009,419,1130,402,3.1944,213500,<1H OCEAN
239,-118.33,34.05,46,3015,795,2300,725,2.0706,268500,<1H OCEAN
240,-118.33,34.02,46,1528,391,933,366,2.1979,125700,<1H OCEAN
241,-118.36,34.03,38,1400,376,1139,315,2.2368,120000,<1H OCEAN
242,-118.29,34.04,41,659,291,1224,290,2.0817,132500,<1H OCEAN
243,-118.31,34.04,33,2691,726,2390,681,2.4048,208300,<1H OCEAN
244,-118.3,34.02,31,1933,478,1522,423,1.5781,119300,<1H OCEAN
245,-118.27,34.03,50,395,232,948,243,1.7546,175000,<1H OCEAN
246,-118.27,34.03,51,1280,422,1560,381,1.7115,125000,<1H OCEAN
247,-118.28,34.05,44,1273,474,1754,460,1.6037,275000,<1H OCEAN
248,-118.26,34.02,41,848,323,1428,313,1.5603,109600,<1H OCEAN
249,-118.27,34.01,47,921,264,881,221,1.4327,114100,<1H OCEAN
250,-118.24,33.99,41,1425,372,1803,353,1.6731,88200,<1H OCEAN
251,-118.3,33.99,47,2637,588,1903,521,1.8317,96500,<1H OCEAN
252,-118.3,33.99,47,2212,533,1903,554,1.9853,101100,<1H OCEAN
253,-118.34,33.98,46,2126,409,1292,414,2.9315,149000,<1H OCEAN
254,-118.34,34.01,37,4291,1102,1941,953,1.7945,106300,<1H OCEAN
255,-118.35,34.02,34,5218,1576,3538,1371,1.5143,118800,<1H OCEAN
256,-118.35,34,28,3085,621,1162,558,3.25,301000,<1H OCEAN
257,-118.27,33.98,30,1966,584,2028,535,1.625,101500,<1H OCEAN
258,-118.25,33.95,35,1405,326,1086,273,1.0375,89800,<1H OCEAN
259,-118.26,33.94,44,1103,265,760,247,1.6887,99600,<1H OCEAN
260,-118.27,33.92,36,1465,346,1147,324,1.7262,88800,<1H OCEAN
261,-118.27,33.94,43,1309,344,1182,340,1.6625,88700,<1H OCEAN
262,-118.29,33.93,41,896,198,605,168,2.2778,128100,<1H OCEAN
263,-118.25,33.94,43,1113,378,1305,334,1.1434,91300,<1H OCEAN
264,-118.24,33.95,37,441,125,390,98,1.6513,90200,<1H OCEAN
265,-118.24,33.94,37,869,241,1040,233,2,84200,<1H OCEAN
266,-118.24,33.94,42,380,106,411,100,0.9705,90000,<1H OCEAN
267,-118.47,34.05,22,5215,1193,2048,1121,4.7009,500001,<1H OCEAN
268,-118.45,34.07,13,4284,1452,3806,1252,1.3125,350000,<1H OCEAN
269,-118.44,34.05,20,5943,1538,2492,1429,4.1141,305000,<1H OCEAN
270,-118.38,34.03,36,2101,569,1756,527,2.9344,222100,<1H OCEAN
271,-118.43,34.03,45,1740,311,788,306,5.2099,373600,<1H OCEAN
272,-118.41,34.02,35,1728,442,1161,420,3.725,310000,<1H OCEAN
273,-118.4,33.99,39,1613,380,1113,356,2.825,276700,<1H OCEAN
274,-118.43,33.96,38,1104,216,415,163,6.1985,422000,<1H OCEAN
275,-118.4,33.97,37,1364,248,494,242,4.6364,456300,<1H OCEAN
276,-118.38,33.95,29,1821,588,1397,523,2.5833,187500,<1H OCEAN
277,-118.29,33.87,32,1700,340,864,317,4.381,238700,<1H OCEAN
278,-118.3,33.86,35,2016,365,1083,369,5.1727,230200,<1H OCEAN
279,-118.25,33.79,32,1205,340,1799,370,2.375,128000,NEAR OCEAN
280,-118.3,33.76,18,9659,1716,4336,1674,5.7764,290500,<1H OCEAN
281,-118.28,33.75,18,393,189,429,188,1.8393,187500,NEAR OCEAN
282,-118.31,33.74,22,5042,974,2260,935,4.3472,351200,NEAR OCEAN
283,-118.28,33.73,52,2085,588,1767,516,2.1935,243200,NEAR OCEAN
284,-118.29,33.72,21,1568,452,801,422,3.5109,225000,NEAR OCEAN
285,-118.23,34.18,47,1853,345,757,310,3.6875,422000,<1H OCEAN
286,-118.25,34.17,52,1532,292,631,275,5.1242,372900,<1H OCEAN
287,-118.28,34.18,47,2243,339,911,319,7.4046,446800,<1H OCEAN
288,-118.24,34.14,28,1843,554,1402,512,2.462,254000,<1H OCEAN
289,-118.26,34.14,29,3431,1222,4094,1205,2.2614,248100,<1H OCEAN
290,-118.25,34.13,36,2946,1025,2542,912,2.2244,255900,<1H OCEAN
291,-118.3,34.19,52,1704,277,746,262,4.7986,326100,<1H OCEAN
292,-118.32,34.19,37,1335,249,485,240,4.1731,352100,<1H OCEAN
293,-118.3,34.18,13,7174,1997,4293,1872,3.0973,251900,<1H OCEAN
294,-118.34,34.19,43,1029,252,613,255,2.6827,219900,<1H OCEAN
295,-118.35,34.16,45,1390,281,538,270,4.2212,293800,<1H OCEAN
296,-118.34,34.16,46,1396,294,608,246,3.692,244500,<1H OCEAN
297,-118.34,34.15,16,1586,377,625,344,4.0893,450000,<1H OCEAN
298,-118.33,34.16,23,1359,428,770,380,3.4016,234600,<1H OCEAN
299,-118.44,34.28,37,944,244,1107,235,1.9688,144100,<1H OCEAN
300,-117.9,34.14,29,2240,457,1187,407,3.8365,184200,<1H OCEAN
301,-117.85,34.14,35,1582,248,654,221,4.9091,275000,INLAND
302,-117.75,34.08,33,1067,194,600,201,4.0368,139100,INLAND
303,-117.78,34.06,33,1056,272,964,300,2.4464,128700,INLAND
304,-117.76,34.05,36,3839,1004,4711,942,2.3859,116200,INLAND
305,-117.74,34.07,42,2504,553,1550,509,3.0294,135700,INLAND
306,-117.74,34.07,52,1868,316,947,328,4.2415,140100,INLAND
307,-117.73,34.08,28,5173,1069,3502,954,3.8438,130800,INLAND
308,-117.87,34.04,7,27700,4179,15037,4072,6.6288,339700,<1H OCEAN
309,-117.88,34.12,34,912,165,522,150,4.0417,178000,<1H OCEAN
310,-117.97,34.08,8,2027,480,1781,447,3.0806,142400,INLAND
311,-117.97,34.09,27,3569,761,3339,762,4.1304,160500,INLAND
312,-117.94,34.08,32,2704,514,1669,497,4.4653,195400,<1H OCEAN
313,-117.93,34.08,35,689,128,379,128,3.9583,206000,<1H OCEAN
314,-117.89,34.09,37,1813,394,1100,375,3.4453,176700,<1H OCEAN
315,-117.88,34.08,30,6132,1538,3147,1449,2.7763,187800,<1H OCEAN
316,-117.9,34.07,36,1009,164,466,149,5.8519,249400,<1H OCEAN
317,-117.94,34.07,25,1814,404,1187,363,3.3523,170800,<1H OCEAN
318,-117.94,34.05,34,1729,324,1341,324,3.7708,163500,<1H OCEAN
319,-117.94,34.03,35,1375,249,1015,239,4.0521,151800,<1H OCEAN
320,-117.98,34.02,33,3512,632,1971,598,4.4653,193200,<1H OCEAN
321,-117.75,34.06,52,1171,318,1126,276,1.9762,105800,INLAND
322,-118.05,34.16,41,3320,713,1236,659,3.5694,278600,INLAND
323,-118.03,34.16,39,2731,366,1034,338,9.8098,500001,INLAND
324,-118.04,34.13,35,249,31,268,29,15.0001,500001,INLAND
325,-118.02,34.12,37,2250,360,989,329,6.1536,366000,INLAND
326,-118.01,34.11,43,1858,345,1054,329,3.5625,211600,INLAND
327,-118.06,34.1,42,1576,313,697,282,4.3523,283600,<1H OCEAN
328,-118.07,34.09,40,1745,370,1293,357,2.5474,198100,<1H OCEAN
329,-118.01,34.1,27,2424,542,1713,557,3.8085,181400,INLAND
330,-118.16,34.19,40,1840,358,1218,347,4.25,177900,<1H OCEAN
331,-118.18,34.16,34,5012,746,1699,715,9.4987,500001,<1H OCEAN
332,-118.16,34.18,44,1870,389,1345,391,1.8932,136100,<1H OCEAN
333,-118.17,34.18,44,1401,246,607,271,2.8472,218800,<1H OCEAN
334,-118.16,34.19,44,2195,449,1377,417,3.5887,153500,<1H OCEAN
335,-118.12,34.17,52,2166,483,1308,467,3.0417,222600,INLAND
336,-118.11,34.16,52,2489,437,1101,438,4.2065,320300,INLAND
337,-118.07,34.16,39,1804,265,730,276,6.4761,397500,INLAND
338,-118.07,34.16,35,2459,438,970,437,4.2143,369400,INLAND
339,-118.12,34.11,52,2787,353,1057,364,10.2317,500001,<1H OCEAN
340,-118.13,34.11,52,2568,345,1102,345,9.1373,500001,<1H OCEAN
341,-118.08,34.13,28,4465,985,2273,949,3.5671,228500,INLAND
342,-118.13,34.1,26,3050,825,2153,772,3.1103,214100,<1H OCEAN
343,-118.15,34.1,52,4325,823,1927,795,3.9485,419100,<1H OCEAN
344,-118.14,34.1,27,4073,1013,2411,933,3.108,231000,<1H OCEAN
345,-118.09,34.09,40,855,208,745,222,3.0125,224000,<1H OCEAN
346,-118.09,34.04,24,1543,257,824,271,6.4385,272600,<1H OCEAN
347,-118.06,33.99,38,862,178,484,176,4.375,186200,<1H OCEAN
348,-118.04,33.96,42,1430,338,1269,321,3.3214,148800,<1H OCEAN
349,-118.09,33.98,39,936,194,691,211,3.6875,169500,<1H OCEAN
350,-118.09,33.97,39,1473,297,1108,294,4.1389,166000,<1H OCEAN
351,-118.09,33.94,33,1976,404,1379,395,3.8542,175400,<1H OCEAN
352,-118.02,33.95,35,2085,400,1112,391,3.4886,173900,<1H OCEAN
353,-117.99,33.9,30,1677,372,1021,332,3.5859,199700,<1H OCEAN
354,-118.16,34.04,22,2991,791,2486,754,1.5078,181900,<1H OCEAN
355,-118.18,34.06,45,934,228,893,192,2.53,140300,<1H OCEAN
356,-118.11,34,33,2886,726,2650,728,2.625,178700,<1H OCEAN
357,-118.16,34,37,1341,336,1233,306,3.6583,150500,<1H OCEAN
358,-118.19,33.98,34,1022,286,1058,275,2.6042,156700,<1H OCEAN
359,-118.16,33.97,39,1444,447,1890,416,2.1181,176600,<1H OCEAN
360,-118.25,33.96,43,1876,454,1571,458,2.0323,112500,<1H OCEAN
361,-118.2,33.96,43,1233,306,1190,282,2.8371,161300,<1H OCEAN
362,-118.19,33.93,44,1613,345,1227,342,3.1667,145700,<1H OCEAN
363,-118.21,33.94,34,710,205,1134,233,2.7734,141100,<1H OCEAN
364,-118.27,33.91,42,1786,358,1318,373,2.625,101100,<1H OCEAN
365,-118.23,33.92,32,1735,430,1699,386,1.1793,103800,<1H OCEAN
